"Username","Photography","Sculpture","Home","Animals","Charity","Law","Military","Politics","Religion","Travel","Vehicles","Shopping","Outdoor recreation","Sports","Fitness","Technology","News","Painting","Architecture","Books","Business","RealEstate","Dance","Engineering","Family","Food","Games","HealthCare","Live Events","Movies","Science","TV","Entrepreneurship"
"oitnb",0.0077697500339107845,0.00040788841134322274,0.01358718261457486,0.03226136527544501,0.00351574575766675,0.010944684699132604,0.024874227500410892,0.020514695348144096,0.04747693673503814,0.003751901606803826,0.030302052008835324,0.030314595865458087,0.022793899440772657,0.03217085613246504,0.02984456540754164,0.009999821428797994,0.10174080943124675,0.03497674901026834,0.021020789610411195,0.000687690322541801,0.005034307034202761,0.000052226632536929015,0.04017358733848774,0.008273049409806553,0.003168253338368952,0.08917911350307892,0.041311524210607645,0.04324835438456195,0.03794280194820575,0.09575901278232558,0.035158527208453354,0.08272230376857782,0.027255917534734407
"american_heart",0.023767520669491917,0.04567198736541138,0.023475536220595266,0.025096705286139876,0.01806390754849445,0.0008114614205076059,0.0005078359922412549,0.0005617643518457982,0.04123239405923732,0.02965475753892005,0.0006694102141416033,0.040064491011996446,0.008410880091747477,0.05711932814896696,0.058716724247656824,0.088986658008542,0.01836120806027105,0.017665957725305208,0.03944829063966836,0.0306522592694454,0.0008371934354607681,0.00048545304901099616,0.023143716218370174,0.1214854032537975,0.027979239020823547,0.031558259946477846,0.030975999108120645,0.06101380331314752,0.044162930261399294,0.03875876025222366,0.03700471244366386,0.03355622913496576,0.013476005292647157
"stephenamell",0.004814205988724202,0.0006465665716535951,0.015970671190645963,0.012603510653218408,0.001614003061279293,0.02095540229795444,0.010045949256423877,0.026319242565081995,0.04579869375023987,0.01669258751909804,0.0165264222925855,0.003907507052668292,0.015720633452915318,0.020998082429386406,0.03731542232302464,0.032247676716084,0.09237202110946753,0.01791210537970684,0.011414444206418576,0.00017933297873795967,0.022311269025431964,0.0006446090798736517,0.00967550051511152,0.013779482915369052,0.006299165908121977,0.10286577978728158,0.037566844793011804,0.030195289510607817,0.01657012256223702,0.08763771194132508,0.01137112989016239,0.06938705749973824,0.03441472856264283
"oniro.games",0.03658889668081232,0.012140200251911568,0.009215511614447655,0.04012667230257809,0.017377500685744438,0.00005478336873535632,0.022179766415641487,0.010070951277553203,0.0240791810401536,0.04147297424849684,0.04494500241494549,0.0006028067703041909,0.024395828077380874,0.00030231573814905267,0.0337928543826027,0.11532854882678098,0.04001787753009324,0.0282094669542361,0.014955342069776022,0.04142463039073067,0.01988986090915571,0.0001854756605974247,0.0436569601064869,0.07904740485953893,0.08637380894844565,0.10566013091782953,0.13914751867146002,0.045707226773587406,0.019173899793332175,0.007835853224805305,0.030276378002938455,0.10646354006925049,0.01580478937589316
"foxinthesnowcafe",0.03658889668081232,0.012140200251911568,0.009215511614447655,0.04012667230257809,0.017377500685744438,0.00005478336873535632,0.022179766415641487,0.010070951277553203,0.0240791810401536,0.04147297424849684,0.04494500241494549,0.0006028067703041909,0.024395828077380874,0.00030231573814905267,0.0337928543826027,0.11532854882678098,0.04001787753009324,0.0282094669542361,0.014955342069776022,0.04142463039073067,0.01988986090915571,0.0001854756605974247,0.0436569601064869,0.07904740485953893,0.08637380894844565,0.10566013091782953,0.13914751867146002,0.045707226773587406,0.019173899793332175,0.007835853224805305,0.030276378002938455,0.10646354006925049,0.01580478937589316
"makethevowkeepthevow",0.03658889668081232,0.012140200251911568,0.009215511614447655,0.04012667230257809,0.017377500685744438,0.00005478336873535632,0.022179766415641487,0.010070951277553203,0.0240791810401536,0.04147297424849684,0.04494500241494549,0.0006028067703041909,0.024395828077380874,0.00030231573814905267,0.0337928543826027,0.11532854882678098,0.04001787753009324,0.0282094669542361,0.014955342069776022,0.04142463039073067,0.01988986090915571,0.0001854756605974247,0.0436569601064869,0.07904740485953893,0.08637380894844565,0.10566013091782953,0.13914751867146002,0.045707226773587406,0.019173899793332175,0.007835853224805305,0.030276378002938455,0.10646354006925049,0.01580478937589316
"sketchymuma",0.03658889668081232,0.012140200251911568,0.009215511614447655,0.04012667230257809,0.017377500685744438,0.00005478336873535632,0.022179766415641487,0.010070951277553203,0.0240791810401536,0.04147297424849684,0.04494500241494549,0.0006028067703041909,0.024395828077380874,0.00030231573814905267,0.0337928543826027,0.11532854882678098,0.04001787753009324,0.0282094669542361,0.014955342069776022,0.04142463039073067,0.01988986090915571,0.0001854756605974247,0.0436569601064869,0.07904740485953893,0.08637380894844565,0.10566013091782953,0.13914751867146002,0.045707226773587406,0.019173899793332175,0.007835853224805305,0.030276378002938455,0.10646354006925049,0.01580478937589316
"sega",0.007593138380008098,0.015023698316527414,0.04031478729145931,0.035063273683172955,0.022011883369621857,0.0004725798756142244,0.04483323588036317,0.014372553413581535,0.03616367936735827,0.03464808585806015,0.04150172626608517,0.0007539878160640357,0.01198298384545127,0.00020773228492318495,0.03539126209672796,0.10919565193775407,0.041719383027512616,0.01101089946169347,0.021654422242831088,0.030341962692612988,0.039630353927107925,0.0006876791990631215,0.022253127095477786,0.10355452265006665,0.06646091948291766,0.13358534775524725,0.11780922871545563,0.005626362185418524,0.012058085632495882,0.023837267889258763,0.04552784323594967,0.12456274702473466,0.032393964932859454
"stunningconcepts",0.023171299889415745,0.045145885968596346,0.009347283823126384,0.0007136083110192862,0.015546609392250797,0.0004937157977322476,0.01685868227940545,0.0006138748655946794,0.000733418759965785,0.13378020306531263,0.057657688593643265,0.08990946231352867,0.028143535590928838,0.04492344464958372,0.00034251857522470325,0.1287626173634795,0.00023717940471072076,0.0371735109167182,0.03084843210164822,0.02755964637619094,0.007180919943522022,0.02690009759525221,0.018066668385388195,0.07105957007579136,0.07106471141743435,0.029672076609013394,0.04697594428194973,0.03239638844406389,0.006207667270913776,0.02146576263021276,0.020220876777974114,0.01032735115026779,0.012956620763876114
"verge",0.011463583841052574,0.030760837399691866,0.025391053280783487,0.03518191537633998,0.0006700022002796298,0.00014331014910944282,0.04034122055347153,0.00032859086545471893,0.04310340144120255,0.0168189576439422,0.10014670126625205,0.035446593347382,0.005376084280967628,0.03293608413678665,0.02193325169780115,0.07683791239433804,0.04343259979304673,0.0004090561496444083,0.008895338208384219,0.012267343183878412,0.03253226826562454,0.00670682032373647,0.00047333358725507474,0.08711401264766527,0.023908321280723573,0.026679457450334308,0.022036560024462797,0.12172005975378443,0.026876359576592894,0.016039107424366802,0.03466200762884409,0.04010777470206871,0.03846246400406405
